Design,Cost,Utility to Science,Failed Downtime,Servicing Margin
171,3.90E+10,2.79E+09,0.26742,1.41E+05
172,1.49E+10,2.66E+09,0.29841,1.33E+06
173,4.16E+10,2.90E+09,0.29656,1.08E+05
174,3.76E+10,2.78E+09,0.29247,1.61E+05
175,1.37E+10,2.61E+09,0.29681,1.58E+06
176,5.39E+10,42696,0.19418,0
177,4.70E+10,47064,0.1999,53489
178,4.17E+10,47421,0.19639,1.06E+05
179,1.77E+10,41327,0.21875,9.50E+05
180,4.60E+10,41677,0.19822,61958
181,4.18E+10,49136,0.17668,1.05E+05
182,1.71E+10,3.22E+05,0.21093,1.03E+06
183,5.52E+10,5.04E+05,0.18839,0
184,5.01E+10,53013,0.19161,27383
185,3.35E+10,61321,0.18098,1.80E+05
186,1.50E+10,1.19E+05,0.21477,1.02E+06
187,4.95E+10,52999,0.18757,31196
188,3.33E+10,51924,0.19829,1.83E+05
189,1.42E+10,51445,0.19881,1.15E+06
190,5.39E+10,63639,0.19841,0
191,4.69E+10,1.29E+06,0.23909,54476
192,4.16E+10,4.82E+05,0.20683,1.07E+05
193,1.89E+10,45924,0.21437,8.44E+05
194,4.58E+10,3.64E+07,0.16034,63583
195,4.16E+10,1.18E+06,0.18481,1.08E+05
196,1.69E+10,45747,0.22695,1.05E+06
197,3.08E+10,1.09E+09,0.49779,0
198,2.72E+10,9.63E+08,0.49577,53051
199,2.55E+10,9.99E+08,0.50745,81876
200,1.40E+10,9.18E+08,0.53991,6.19E+05
201,2.47E+10,9.06E+08,0.51514,99766
202,2.31E+10,9.33E+08,0.53611,1.34E+05
203,1.08E+10,1.33E+09,0.54802,1.15E+06
204,3.08E+10,7.83E+08,0.39495,0
205,2.55E+10,4.85E+08,0.42154,83758
206,2.36E+10,3.85E+08,0.3674,1.23E+05
207,1.22E+10,4.33E+08,0.42512,8.53E+05
208,2.44E+10,3.99E+08,0.34856,1.06E+05
209,2.28E+10,3.02E+08,0.42087,1.42E+05
210,1.08E+10,4.70E+08,0.45802,1.16E+06
211,3.16E+10,7.14E+08,0.45024,0
212,2.76E+10,2.98E+08,0.4238,42342
213,1.93E+10,5.76E+08,0.43471,1.98E+05
214,1.10E+10,6.00E+08,0.36485,8.63E+05
215,2.70E+10,4.58E+08,0.46077,49890
216,1.89E+10,5.28E+08,0.4151,2.12E+05
217,1.02E+10,4.34E+08,0.4267,1.05E+06
218,3.08E+10,5.11E+08,0.45524,0
219,2.55E+10,4.50E+08,0.42639,82166
220,2.31E+10,4.10E+08,0.41346,1.33E+05
221,1.21E+10,4.36E+08,0.43707,8.57E+05
222,2.45E+10,3.61E+08,0.36346,1.02E+05
223,2.29E+10,5.71E+08,0.41385,1.39E+05
224,1.04E+10,3.31E+08,0.45501,1.27E+06
225,1.55E+10,1.20E+08,0.74378,0
226,1.42E+10,1.16E+08,0.69883,41538
227,1.37E+10,1.79E+08,0.7233,59247
228,1.02E+10,9.73E+07,0.72025,3.27E+05
229,1.37E+10,8.69E+07,0.7596,62071
230,1.33E+10,1.60E+08,0.71368,80869
231,1.07E+10,1.38E+08,0.74098,2.72E+05
232,1.55E+10,3.97E+07,0.74625,0
233,1.42E+10,1.64E+07,0.70865,41435
234,1.38E+10,2.64E+07,0.75601,57359
235,1.04E+10,5.54E+07,0.74438,2.96E+05
236,1.34E+10,5.04E+07,0.68111,73003
237,1.32E+10,2.77E+07,0.71533,85796
238,1.00E+10,1.63E+07,0.7273,3.50E+05
239,1.59E+10,7.69E+07,0.68931,0
240,1.50E+10,2.39E+07,0.72792,20856
241,1.21E+10,2.81E+07,0.71253,1.16E+05
242,8.78E+09,1.15E+07,0.69311,4.49E+05
243,1.45E+10,2.63E+07,0.68201,34053
244,1.13E+10,3.78E+07,0.70651,1.58E+05
245,8.78E+09,6.05E+07,0.68494,4.62E+05
246,1.55E+10,9.62E+07,0.66755,0
247,1.42E+10,6.34E+07,0.70288,41283
248,1.37E+10,4.15E+07,0.71899,60201
249,9.80E+09,8.63E+07,0.66756,3.74E+05
250,1.33E+10,6.63E+07,0.66784,76299
251,1.31E+10,5.06E+07,0.70836,89828
252,9.52E+09,1.06E+07,0.68736,4.25E+05
253,5.33E+10,4.04E+09,0.31502,0
254,4.33E+10,2.68E+09,0.31074,83881
255,3.93E+10,2.81E+09,0.32238,1.28E+05
256,1.53E+10,2.45E+09,0.258,1.20E+06
257,4.16E+10,2.50E+09,0.29497,1.02E+05
258,3.74E+10,2.66E+09,0.24843,1.55E+05
259,1.49E+10,2.49E+09,0.3212,1.30E+06
260,5.33E+10,5.61E+07,0.18442,0
261,4.64E+10,1.02E+07,0.15788,53435
262,4.18E+10,45383,0.21803,97940
263,1.79E+10,1.91E+07,0.18961,8.97E+05
264,4.54E+10,3.60E+06,0.19947,62181
265,4.04E+10,41954,0.1999,1.15E+05
266,1.65E+10,8.09E+06,0.20023,1.07E+06
267,5.46E+10,3.98E+07,0.20012,0
268,4.96E+10,52032,0.20113,26781
269,3.29E+10,6.67E+07,0.1581,1.82E+05
270,1.54E+10,3.55E+07,0.15352,9.36E+05
271,4.89E+10,2.24E+05,0.19093,31074
272,3.28E+10,1.52E+07,0.21334,1.83E+05
273,1.43E+10,53092,0.20096,1.10E+06
274,5.33E+10,1.28E+07,0.19707,0
275,4.65E+10,39817,0.23865,52659
276,4.18E+10,42695,0.19553,98657
277,1.68E+10,5.39E+07,0.26558,1.01E+06
278,4.55E+10,54124,0.19327,61483
279,4.13E+10,1.02E+05,0.19505,1.04E+05
280,1.66E+10,40906,0.20777,1.05E+06
281,3.05E+10,1.29E+09,0.46808,0
282,2.69E+10,1.17E+09,0.50769,51843
283,2.52E+10,1.51E+09,0.47803,81294
284,1.42E+10,1.10E+09,0.49707,5.69E+05
285,2.43E+10,1.15E+09,0.49841,1.01E+05
286,2.28E+10,1.08E+09,0.45654,1.35E+05
287,1.32E+10,9.48E+08,0.51922,6.88E+05
288,3.05E+10,6.34E+08,0.39913,0
289,2.52E+10,5.60E+08,0.42163,81839
290,2.35E+10,2.00E+08,0.39591,1.17E+05
291,1.13E+10,4.17E+08,0.43861,9.70E+05
292,2.43E+10,4.19E+08,0.38337,99888
293,2.28E+10,3.54E+08,0.37918,1.35E+05
294,1.10E+10,4.41E+08,0.46059,1.06E+06
295,3.13E+10,9.31E+08,0.4513,0
296,2.74E+10,4.09E+08,0.44144,40228
297,1.96E+10,6.59E+08,0.41125,1.83E+05
298,1.01E+10,5.28E+08,0.44015,1.01E+06
299,2.68E+10,7.25E+08,0.35514,48447
300,1.87E+10,9.14E+08,0.33048,2.10E+05
301,9.67E+09,4.50E+08,0.45979,1.14E+06
302,3.05E+10,7.71E+08,0.43913,0
303,2.52E+10,7.00E+08,0.37572,82779
304,2.33E+10,4.70E+08,0.37091,1.22E+05
305,1.34E+10,5.49E+08,0.42298,6.46E+05
306,2.42E+10,3.07E+08,0.42793,1.02E+05
307,2.26E+10,4.12E+08,0.42879,1.38E+05
308,1.03E+10,4.25E+08,0.47337,1.24E+06
309,1.53E+10,1.22E+08,0.77994,0
310,1.41E+10,1.39E+08,0.7396,40584
311,1.38E+10,1.39E+08,0.73777,50777
312,1.04E+10,1.06E+08,0.72486,2.85E+05
313,1.35E+10,9.38E+07,0.7609,61255
314,1.33E+10,1.03E+08,0.74293,72862
315,9.53E+09,1.02E+08,0.78882,4.00E+05
316,1.53E+10,7.69E+07,0.67793,0
317,1.41E+10,6.32E+07,0.69745,40484
318,1.37E+10,1.85E+08,0.63639,54663
319,1.05E+10,6.03E+07,0.72412,2.68E+05
320,1.32E+10,1.16E+08,0.66409,74081
321,1.31E+10,7.89E+07,0.65431,78212
322,9.24E+09,4.72E+07,0.7538,4.46E+05
323,1.57E+10,1.06E+08,0.70052,0
324,1.48E+10,1.62E+07,0.69277,20386
325,1.14E+10,7.58E+07,0.71186,1.42E+05
326,8.61E+09,4.01E+07,0.71186,4.53E+05
327,1.42E+10,9.03E+07,0.63883,34920
328,1.19E+10,5.10E+07,0.68611,1.23E+05
329,8.14E+09,2.42E+07,0.76239,5.70E+05
330,1.53E+10,1.40E+08,0.67543,0
331,1.41E+10,3.24E+07,0.76413,40335
332,1.36E+10,3.06E+07,0.7374,56722
333,9.97E+09,4.94E+07,0.71355,3.29E+05
334,1.33E+10,2.28E+08,0.67029,70299
335,1.30E+10,3.20E+07,0.70479,85759
336,9.03E+09,2.08E+07,0.69951,4.84E+05
337,6.61E+10,4.21E+09,0.33425,0
338,5.33E+10,2.18E+09,0.35214,1.16E+05
339,4.94E+10,2.04E+09,0.3606,1.67E+05
340,2.18E+10,2.63E+09,0.34401,1.33E+06
341,5.13E+10,2.33E+09,0.38151,1.41E+05
342,4.67E+10,3.13E+09,0.32252,2.10E+05
343,1.82E+10,2.81E+09,0.35987,1.91E+06
344,6.61E+10,38469,0.26942,0
345,5.76E+10,1.04E+07,0.23952,70871
346,5.24E+10,3.71E+05,0.26798,1.28E+05
347,2.43E+10,43251,0.24682,1.07E+06
348,5.68E+10,1.75E+07,0.22505,78469
349,5.20E+10,2.74E+07,0.23913,1.34E+05
350,2.28E+10,7.87E+07,0.24979,1.23E+06
351,6.74E+10,2.19E+07,0.24406,0
352,6.16E+10,7.69E+05,0.2193,33057
353,4.19E+10,1.60E+06,0.22435,2.27E+05
354,2.05E+10,3.10E+07,0.21977,1.15E+06
355,6.11E+10,1.36E+06,0.20641,36785
356,4.09E+10,51705,0.21757,2.45E+05
357,1.89E+10,3.74E+07,0.23712,1.36E+06
358,6.61E+10,5.83E+05,0.17255,0
359,5.78E+10,5.32E+05,0.17659,68920
360,5.29E+10,6.60E+06,0.20601,1.21E+05
361,2.41E+10,44534,0.24812,1.09E+06
362,5.70E+10,41244,0.21312,76164
363,5.18E+10,49835,0.22971,1.36E+05
364,2.28E+10,7.57E+06,0.24095,1.23E+06
365,3.78E+10,1.06E+09,0.54875,0
366,3.37E+10,1.14E+09,0.55437,63569
367,3.20E+10,1.36E+09,0.53447,96841
368,1.87E+10,8.66E+08,0.57447,7.04E+05
369,3.04E+10,1.20E+09,0.53255,1.30E+05
370,2.88E+10,1.08E+09,0.56273,1.72E+05
371,1.44E+10,8.27E+08,0.53613,1.36E+06
372,3.78E+10,9.30E+08,0.45264,0
373,3.14E+10,3.24E+08,0.46423,1.06E+05
374,2.97E+10,3.54E+08,0.47601,1.48E+05
375,1.53E+10,2.75E+08,0.501,1.15E+06
376,3.02E+10,4.46E+08,0.46519,1.34E+05
377,2.82E+10,4.73E+08,0.43683,1.86E+05
378,1.59E+10,2.78E+08,0.4683,1.07E+06
379,3.86E+10,7.85E+08,0.45716,0
380,3.39E+10,3.90E+08,0.49558,52875
381,2.41E+10,3.67E+08,0.46183,2.52E+05
382,1.27E+10,6.18E+08,0.44653,1.40E+06
383,3.31E+10,5.58E+08,0.46317,63717
384,2.34E+10,6.26E+08,0.44952,2.78E+05
385,1.14E+10,6.89E+08,0.49333,1.91E+06
386,3.78E+10,4.93E+08,0.46067,0
387,3.09E+10,4.95E+08,0.44688,1.17E+05
388,2.92E+10,2.68E+08,0.4913,1.60E+05
389,1.60E+10,3.28E+08,0.47861,1.02E+06
390,3.02E+10,3.32E+08,0.4374,1.33E+05
391,2.85E+10,3.26E+08,0.45736,1.80E+05
392,1.56E+10,3.88E+08,0.53133,1.11E+06
393,1.90E+10,1.15E+08,0.75624,0
394,1.75E+10,1.19E+08,0.76648,50878
395,1.74E+10,9.51E+07,0.76744,58717
396,1.25E+10,7.31E+07,0.82545,4.73E+05
397,1.70E+10,1.17E+08,0.77124,74368
398,1.70E+10,5.54E+07,0.82943,78053
399,1.31E+10,1.16E+08,0.79093,3.96E+05
400,1.90E+10,4.13E+07,0.69928,0
401,1.75E+10,3.16E+07,0.75928,50741
402,1.74E+10,1.12E+08,0.7251,59186
403,1.46E+10,7.69E+07,0.717,2.35E+05
404,1.67E+10,3.69E+07,0.74106,88826
405,1.68E+10,4.11E+07,0.7385,86936
406,1.36E+10,5.42E+07,0.70128,3.34E+05
407,1.94E+10,2.08E+07,0.74143,0
408,1.84E+10,1.06E+08,0.71239,23745
409,1.55E+10,4.24E+07,0.73941,1.27E+05
410,1.26E+10,7.25E+06,0.75056,3.62E+05
411,1.78E+10,1.21E+07,0.71258,40602
412,1.51E+10,1.89E+07,0.72521,1.46E+05
413,1.12E+10,7.55E+06,0.74882,5.71E+05
414,1.90E+10,5.67E+07,0.73543,0
415,1.75E+10,7.78E+07,0.76111,50538
416,1.75E+10,6.03E+06,0.71918,55973
417,1.43E+10,4.68E+06,0.75565,2.59E+05
418,1.66E+10,8.16E+06,0.76197,91466
419,1.66E+10,1.58E+07,0.73858,93082
420,1.33E+10,2.48E+07,0.73902,3.77E+05
421,6.33E+10,2.95E+09,0.35521,0
422,5.12E+10,2.67E+09,0.31473,1.12E+05
423,4.76E+10,2.09E+09,0.36805,1.60E+05
424,2.05E+10,2.89E+09,0.41097,1.36E+06
425,4.90E+10,2.53E+09,0.33627,1.39E+05
426,4.54E+10,2.57E+09,0.32637,1.94E+05
427,1.88E+10,3.13E+09,0.35795,1.63E+06
428,6.33E+10,6.49E+06,0.27832,0
429,5.51E+10,2.90E+07,0.26418,69743
430,5.07E+10,5.40E+05,0.18822,1.19E+05
431,2.52E+10,1.03E+05,0.22514,9.02E+05
432,5.43E+10,4.82E+07,0.20034,77789
433,5.00E+10,42769,0.24308,1.29E+05
434,2.24E+10,1.61E+07,0.24975,1.16E+06
435,6.45E+10,3.75E+06,0.19786,0
