Design,Cost,Utility to Science,Failed Downtime,Servicing Margin
85,0.109297217,0.649850689,0.618903664,0.269438928
86,0.779792897,0.018668627,0.026447191,0.076786235
87,0.404699645,0.00094527,0.109494664,0.144988376
88,0.683792958,0.000821944,0.039887417,0.109136602
89,0.410124927,0.008801292,0.107681806,0.103122088
90,0.37743477,0.280612612,0.026447191,0.517803526
91,0.100742508,0.288849692,0.282537,0.609282494
92,0.187027865,0.093610333,0.110864952,0.358310665
93,0.028675533,0.146945306,0.512304251,0.455502951
94,0.313168464,0.110816507,0.047867548,0.43801474
95,0.013265181,0.12671821,0.675343943,0.389239762
96,0.115044605,0.028979781,0.035365744,0.736133204
97,0.064634957,0.004409856,0.08028658,0.825324963
98,0.008165253,0.006099744,0.239427332,0.815714918
99,0.10530533,0.018192773,0.041893377,0.815714918
100,0.167812962,0.049389702,0.026447191,0.767363497
101,0.487201566,0.043324674,0.107827523,0.053236449
102,0.085750355,0.325773124,0.476893002,0.464661201
103,0.065899842,0.149184674,0.461241793,0.363534539
104,0.216377754,0.247981114,0.123739133,0.300622159
105,0.367054355,0.20696344,0.04456883,0.258539386
106,0.231969411,0.599659135,0.311529678,0.315926696
107,0.740481334,6.57E-06,0.038828423,0.100044238
108,0.47053617,0.008668216,0.095087622,0.057020227
109,0.328328142,0.273875229,0.054302839,0.541014467
110,0.292949083,0.27461705,0.070510655,0.507647563
111,0.354162382,0.073939915,0.044135586,0.45593592
112,0.110191539,0.135424522,0.238719812,0.45048615
113,0.34027806,0.163223222,0.047883796,0.379573242
114,0.217966791,0.532104392,0.30063009,0.299671508
115,0.225165998,0.581237291,0.295164149,0.307559086
116,0.435155408,0.000123906,0.095635723,0.10194554
117,0.170151215,0.27759792,0.156862155,0.529314873
118,0.157200454,0.219734118,0.177273284,0.556610788
119,0.218120958,0.141892815,0.088868115,0.372043335
120,0.078807551,0.111461556,0.290691479,0.387987914
121,0.196543018,0.188596979,0.101938295,0.395320162
122,0.084722891,0.07794275,0.059704721,0.714964751
123,0.087078844,0.035048372,0.057694741,0.769358922
124,0.189109755,0.4889798,0.352507771,0.266690511
125,0.223835429,0.59905362,0.297113042,0.259292377
126,0.703138815,0.025434861,0.038399956,0.138587954
127,0.170142962,5.55E-06,0.315904821,0.084278494
128,0.698377236,0.007065005,0.038739435,0.117043005
129,0.437106489,0.009053077,0.09494744,0.095799253
130,0.32127332,0.356140072,0.049082838,0.375685928
131,0.309323318,0.245352488,0.0524144,0.532524496
132,0.142088389,0.170090555,0.200659345,0.544233502
133,0.223685307,0.128209743,0.085924097,0.427491694
134,0.088426732,0.135874282,0.26235905,0.436640532
135,0.096803738,0.126691275,0.248515788,0.377587229
136,0.088684782,0.010370604,0.056096438,0.769462459
137,0.083795409,0.002341058,0.060688024,0.791779223
138,0.758941334,0.872875156,0.026447191,0.219430927
139,0.528206915,0.577142246,0.076543057,0.241182949
140,0.232475098,0.472546411,0.269505884,0.223628851
141,0.511435921,0.522050786,0.081428821,0.30970511
142,0.206035024,0.617128719,0.315527144,0.243686643
143,0.427201436,0.009797249,0.095787394,0.126907184
144,0.177755741,0.000104765,0.2912855,0.184143897
145,0.689506898,0.000326236,0.038606733,0.143265909
146,0.433909339,3.79E-06,0.093039847,0.078715774
147,0.378175276,0.276795072,0.026447191,0.463842324
148,0.300772355,0.33124544,0.053764134,0.4259763
149,0.170801622,0.271512908,0.150354239,0.466298956
150,0.272085106,0.258754763,0.067051859,0.561166383
151,0.157649286,0.1641655,0.169515257,0.64392007
152,0.378216095,0.265544302,0.026447191,0.407640974
153,0.390853028,0.231443337,0.026447191,0.387150212
154,0.210637702,0.105288437,0.090209368,0.375591804
155,0.090920446,0.094049926,0.245173097,0.465978935
156,0.313224896,0.110140954,0.047140268,0.378519055
157,0.199247271,0.124695371,0.097149216,0.363958096
158,0.090527367,0.137236122,0.253818697,0.4177687
159,0.090510653,0.002716045,0.052196355,0.812345284
160,0.109659053,0.009418174,0.038600148,0.82389428
161,0.077402707,0.012148671,0.064268057,0.77669117
162,0.707824892,0.632657416,0.06441055,0.241173536
163,0.575062152,5.56E-06,0.087941871,0.070696422
164,0.283852061,0.228457985,0.089499563,0.310392214
165,0.168513619,0.042106474,0.026447191,0.777378274
166,0.373036924,0.192829696,0.044389069,0.345312162
167,0.290249394,0.655992184,0.295641694,0.239667555
